Material,Material Description,     Amount
4892070,ELECTRODE CABLE FOR STIMUPLEX HNS 11/12,5600.0
7700001,Exchange of the spare parts,1000.0
7700002,Exchange drive head clip,1000.0
7700003,Exchange of the “P2” connector,1100.0
7700004,CALIBRATION,1350.0
7700005,Maintenance the front panel connectors,850.0
7700006,Maintenance the drive connectors,850.0
7700007,Repair of the A-module,850.0
7700008,Repair of the air sensor,850.0
7700009,Repair of the pressure sensor,1700.0
7700010,Repair of the drop sensor connector,850.0
7700011,Testing and repair of the syringe holder,1500.0
7700012,Testing and repair of the LED,2200.0
7700013,Testing and repair of the operating unit,1000.0
7700014,Testing and repair of the drive,2500.0
7700015,Testing and repair of the processor PCB,3400.0
7700016,Testing and repair of the drive PCB,1600.0
7700017,Testing and repair the drive bolt drive,1100.0
7700018,DIAGNOSTIC,900.0
7700019,REPAIR BATTERY CONTACTS,1000.0
7700059,INSPECTION WITH MAINTENANCE,500.0
7701357,MANOMETER 0-4 BAR,12873.0
7701489,PRESSURE GAUGE FOR INFUSOMAT FM,5745.0
7701497,SPECIAL SPANNER M18,2830.0
7701535,CALIBRATION GAUGE,45866.0
7701543,POTENTIOMETER TEMPLATE 20ML,3435.0
7701551,POTENTIOMETER TEMPLATE 50ML,3371.0
7701608,DISTANCE GAUGE,33709.0
7701616,CURRENT STEP TEMPLATE,54322.0
7701624,POTENTIOMETER ALIGNMENT 50ML,3364.0
7701675,ADJUSTING GAUGE FOR TOOTHED BELT TENSION,6851.0
7703368,SYRINGE GAUGE,46317.0
7703376,ZERO POINT POTENTIOMETER CALIBRATION,17091.0
7705034,"CALIBRATION TEMPLATE 2.2 MM, INFUSOMAT P",8689.0
7705042,FOUR-WAY GAUGE,12007.0
7705166,DIAMETER GAUGE PSP,7380.0
7705174,POWER SUPPLY TEST ADAPTOR SP,4695.0
7705190,LENGTH GAUGE PSP,3258.0
7705204,SYRINGE GAUGE PSP,50539.0
8700150,UNIVERSAL CLAMP NAW,12251.0
8711661,INTERFACE CABLE F. PC,11288.0
8711674,"12V EXTERNAL POWER CORD,PERFUSOR COMPACT",8062.0
8713130,POLE CLAMP SP,14361.0
8713160,SPACECOM SUPPLEMENTARY PART,136538.0
8713180,BATTERY-PACK SP (NIMH),10375.0
8713184,SPACECOM OPTION W-LAN,8810.0
8714991,PERFUSOR COMPACT BATTERY PACK,3250.0
8716102,PCA MODULE (ENGLISH),42017.0
8710360,MAINS ADAPTER ENTEROMAT 230 V,10300.0
34500979,FUSE HOLDER,495.0
34501215,PFM SERVICE PLUG,3618.0
34501690,RECHARGEABLE BATTERY PACK PERF.COMPACT,4400.0
34501703,ZERO POINT TEMPLATE,11203.0
34501711,FIXATIONS LEVER OF THE DRIVE,441.0
34501720,DRIVE BUTTON COMPLET,1671.0
34501738,FINGER PUMP,17234.0
34501754,REED SENSOR,713.0
34501789,HANDLE WITH O RING & SCREW,770.0
34501797,KEYPAD WITH SUPPORT,4412.0
34501800,KEYPAD WITH SUPPORT PLATE,4641.0
34501819,LCD MODULE (INF.),6610.0
34501827,FRAME (SPRING & MAGNET),1757.0
34501835,FRAME INC PRESSURE SPRING,1946.0
34501878,DRIP SENSOR SOCKET INCL. CABLE AND CONNE,1666.0
34501916,PUMP COVER WITH LOCK,1784.0
34501924,MOTOR WITH PINION,2663.0
34502092,FRONT PANEL WITHOUT FLOW INH.,1346.0
34502351,ADAPTOR WITH BRACKET OPS SYRINGE,2065.0
34502556,RECHARGEABLE BATTERY W/CONNECTOR 7.2V,5290.0
34502629,DROP DETECTOR COMPLETE   1PC.P.PACK.,6365.0
34503366,DISTANCE SLEEVE,82.0
34503374,MFC CONNECTOR BOARD,3401.0
34503390,PUMP COVER COMPLETE,2018.0
34503412,BLIND PLUGS,81.0
34503447,BUZZER,1061.0
34503927,"HOUSING UPPER PART(EUROPE),COMPLETE WITH",6595.0
34504788,SYRINGE HOLDER WITH CAP,711.0
34505237,HOUSING LOWER PART INCL.SYRINGE HOLDER,3187.0
34505288,A-MODUL,8440.0
34505296,E-MODULE (MOTHER BOARD WITH LCD),18895.0
34505369,DRIVE HEAD OUTER DRIVE COVER S,2035.0
34505407,FINGER PUMP (WITHOUT MOTOR),19674.0
34505415,FOOT STAND WITH RUBBER FEET,578.0
34505440,SPRING HOLDER FOR DOOR LOCK,529.0
34505482,AXIAL POSITIONER,612.0
34505490,DRIVE COMPLETE DRIVE HEAD,34347.0
34505504,COVER FOR BATTERY HOUSING,2200.0
34505547,FOIL KEYBOARD,5094.0
34505563,LCD MODULE FOR INFUSOMAT FM,5593.0
34505571,HINGE UNIT,514.0
34505580,HINGE PIN (FOR HINGE UNIT),365.0
34505598,DOOR FRAME,1893.0
34505601,DOOR LOCK COMPLETE W/PUSHBUT,1053.0
34505644,PLUG FOR MAINS INLET(W/O FUSEHOLDER,518.0
34505652,FUSE HOLDER,352.0
34505709,MAINS TRANSFORMER 200-240V,2099.0
34505717,PUMP COVER WITH LOCKING DEVICE,1565.0
34505733,SEAL MEMBRANE INCL SEA (IFM),933.0
34505741,MOTOR WITH PINION,3713.0
34505750,AIR SENSORS,5542.0
34505822,FRONT PANEL,1469.0
34505857,UNIVERSAL CLAMP COMPLETE,3741.0
34506217,MICROPROCESSOR BOARD,25441.0
34506250,"DRIVE HEAD COMPLETE, P. COMP. S",9478.0
34506268,DRIVE BOARD,8488.0
34506357,RECHARGEABLE BATTERY W/PLUG 1.8AG/7.2V,6814.0
34506373,HOLDER,273.0
34506438,HANDLE FOR PERFUSOR COMPACT S,1245.0
34506470,SEGMENT CONNECTOR,1767.0
34506551,DOUBLE SAFETY HOOK,406.0
34506560,UNIT HOOK,502.0
34506586,UPPER HOUSING COMPLETE,5894.0
34506594,LOWER HOUSING WITH SYRINGE CLAMP,2854.0
34506608,SYRINGE HOLDER W'CAP FOR PERFUSOR COMPAC,548.0
34506616,RASTCLIP U.RASTHEBEL PERFUSOR COMPACT,685.0
34506624,DRIVE COMPLETE,23199.0
34506632,BATTERY COMPARTMENT DOOR,448.0
34506640,DEVICE FEET,85.0
34506659,AXIAL POSITIONER FOR COMPACT,323.0
34506683,N-MODULE (200-240V,2672.0
34506691,P.C.B. FOR DRIVE UNIT,6100.0
34506996,POLECLAMP LATCH SP,3501.0
34507191,WHEEL WITH BRAKE,2904.0
34507329,REPAIR FOIL FOR PERFUSOR FM,4385.0
34507337,TRAIN ROD FOR PERFUSOR FM,1124.0
34507353,PRESSURE SENSOR COMPLETE,4594.0
34507418,L.C.D MODULE,5455.0
34507540,ADAPTER 20 ML SYRINGE,413.0
34507558,ADAPTOR 10ML,398.0
34507566,STEPPER MOTOR,4424.0
34507574,TOOTH BELT FOR HEPARIN PUMP,674.0
34507590,MOULD FOR SYRINGE,750.0
34507671,FOOTSTAND (LEFT),750.0
34507680,FOOTSTAND (RIGHT),667.0
34507710,LS-CLIP,282.0
34507736,SMALL PART KITS FOR 5 UNITS,2300.0
34507981,EXTENSION BOARD PCA,10338.0
34507990,MEMORY CARD PCA,16405.0
34508015,MAINS MODULE 230 V,4796.0
34508058,"OPERATING UNIT W/SEAL CORD, WITHOUT LCD",8394.0
34508112,HOUSING WITH INSTRUCTIONS,20072.0
34508210,"BATTERY, 1.2AH",5738.0
34508236,M.F.C   P.C.B.,3020.0
34508244,BLIND PLATE,396.0
34508252,"DRIVE UNIT, COMPLETE",16019.0
34508317,"PCB COMPL., SW PFAD, GROUP E, NEW",40136.0
34508538,"GEARED MOTOR, COMPLETE, ENTEROPORT PLUS",15984.0
34508570,BATTERY ENTEROPORT PLUS,2404.0
34508600,PRESSURE SENSOR ENTEROPORT PLUS,1873.0
34508635,CHARGING SOCKET ENTEROPORT PLUS,1612.0
34508643,BUZZER,1905.0
34508724,LP-CONTROLLOR FMS LANGUAE GROUP (D),33104.0
34508732,"PCB COMPL., SW IFME, GROUP E, NEW",33104.0
34508791,CONTROLLER BOARD W.LOUDSPEAKER.(INF.P),33438.0
34508830,"FLEX CABLE, PERFORMED F. INFUSOMAT",606.0
34508848,LOUD SPEAKER,768.0
34508864,POWER SUPPLY UNIT FM COMPUTER / FM POWER,53597.0
34509020,AXIAL POSITIONER KIT FOR 3 CC SHERWOOD,826.0
34509054,"ROTATING POLE CLAMP, PERFUSOR COMPACT",4277.0
34509631,"MODULE CIRCUIT BOARD NIBP F.M011,211",31265.0
34509828,COMBIMODULE M010,85135.0
34516417,UNIT ROLLER,1233.0
34520368,MAINS FILTER,13860.0
34520457,"PCB COMPL., SW PFAE, GROUP E, NEW",35543.0
34520465,LP-E-MODUL PERFUSOR LC DIANET STAR,16705.0
34520474,SOFTWARE CD PERF.COMPACT(S) ALL VERSIONS,1525.0
34520678,HOUSING WITH KEYPAD ENTEROPORT PLUS,7808.0
34520686,PUMP LID WITH LID LATCH ENTEROPORT PLUS,1602.0
34520694,CIRCUIT BOARD ENTEROPORT PLUS,21602.0
34520703,TOUCH PEN SPCT (10 PCS),1924.0
34520706,LCD DRAWER SPCT,48290.0
34520708,BEARING UNIT WITH SLEEVE ENTEROPORT PLUS,10560.0
34520710,SCREW AND SERVICE KIT SPCT,3022.0
34520711,MOTHERBOARD SPCT,33082.0
34520714,SGC-Modul Serviceset,8465.0
34520716,MEMBRANE ENTEROPORT PLUS,783.0
34520724,KEYPAD ENTEROPORT PLUS,3054.0
34520732,HOUSING WITH AIR SENSOR ENTEROPORT PLUS,7869.0
34520767,SERVICE PLUG ENTEROPORT PLUS,3108.0
34520856,ACCUMODULE SP,14030.0
34520864,"RIBBON CABLE, PISTON BRAKE PSP",593.0
34520872,BATTERY COMPARTMENT COVER PSP,674.0
34520880,PROCESSOR BOARD PSP,32565.0
34520910,"HOUSING, UPPER PART PSP",3575.0
34520911,PROTECTION CAP SP,443.0
34520929,"HOUSING, BOTTOM PART PSP",2028.0
34520937,LOUDSPEAKER SP,1130.0
34520945,SYRINGE HOLDER WITH PISTON BRAKE PSP,7323.0
34520961,"GUIDE RAIL,PISTON BRAKE PSP",398.0
34520970,"OPERATING UNIT, COMPLETE PSP",13639.0
34520988,LC-DISPLAY SP,4732.0
34520996,FRONT COVER WITH KEYBOARD PSP,8588.0
34521003,"REAR PANEL, OPERATING UNITS PSP",1041.0
34521011,HINGE PLATE LEFT PSP,492.0
34521020,HINGE PLATE RIGHT PSP,839.0
34521037,DRIVE UNIT PSP,13073.0
34521038,DRIVE HEAD PSP SILVER CLAWS,24014.0
34521039,"DRIVE HEAD PSP, GREEN CLAWS",22590.0
34521041,DRIVE PSP COMPLETE GREEN CLAWS,33021.0
34521046,DRIVE COMPLETE PSP SILVER CLAWS,34633.0
34521052,HOUSING REAR PART WITH FAN SPCO,8621.0
34521054,"HOUSING, SIDE PART PSP",1109.0
34521055,"HOUSING, DRIVE HEAD PSP",3591.0
34521056,LINEAR POTENTIOMETER ISP,1850.0
34521057,DRIVE HEAD PSP RIBBON CABLE,1067.0
34521062,SERVICE PLUG,4148.0
34521070,FRONT HOUSING SPS,5963.0
34521097,POWER SUPPLY SPS,16237.0
34521100,INTERFACE PC-BOARD SPS,26684.0
34521119,MODULE FIXATION SPS,12248.0
34521127,RACK FIXATION SPS,2892.0
34521135,POLE CLAMP FIXATION SPS,800.0
34521143,MAINS PLUG FIXATION SPS,748.0
34521151,POLE CLAMP SPS,9131.0
34521160,DATA CONNECTOR FIXATION SPS,765.0
34521178,HOUSING UPPER PART SPCC,5298.0
34521179,SPCC HOUSING UPPER & BOTTOM PART,8074.0
34521186,HOUSING BOTTOM PART SPCC,2752.0
34521195,SPCS HOUSING UPPER & BOTTOM PART,4712.0
34521216,HOUSING REAR PANEL SPC,1440.0
34521224,HANDLE SPCC,1976.0
34521232,BATTERY COMPARTMENT COVER SPC,1131.0
34521259,MOTHERBOARD SPCC,18866.0
34521267,LOUDSPEAKER SPCC,1523.0
34521305,"HOUSING, BOTTOM PART ISP",2411.0
34521313,"HOUSING, UPPER PART ISP",2692.0
34521321,BATTERY COMPARTMENT COVER ISP,1794.0
34521330,SLIDE GUIDE ISPS,1562.0
34521338,BATTERY TESLA SPY SPSM,31920.0
34521348,MOTHERBOARD ISP,31312.0
34521356,MEMBRANE ISP,1410.0
34521364,FRONT FRAME ISPS,3248.0
34521372,PRESSURE SENSOR ISP,6473.0
34521380,AIR-IN-LINE SENSOR ISP,4946.0
34521399,SAFETY CLAMP ISPS,5476.0
34521402,PUMP FRAME WITH SHAFT ISP,9693.0
34521410,STEPPER MOTOR  WITH PINION ISP,4900.0
34521429,DRIVE FOR DOOR BOLT ISP,3865.0
34521437,INNER FRAME (ADJUSTED) ISP,3079.0
34521440,EMC PROTECTION SHEET ISP,1007.0
34521445,PRESSURE ADJUSTMENT UNIT ISPS,1281.0
34521453,"INNER FRAME, BOTTOM ISP",1090.0
34521461,AXLE ISP,1225.0
34521470,OPERATING UNIT (COMPLETE) ISPS,19097.0
34521487,METAL FRONT SHEET II ISPS,6340.0
34521488,METAL FRONT SHEET ISPS,5894.0
34521496,DOOR BOLT ISP,2077.0
34521526,SAFETY CLAMP ISPP,5445.0
34521534,OPERATING UNIT (COMPLETE) ISPP,19210.0
34521550,CLAW MECHANISM PSP,6585.0
34521569,DRIVE HEAD PCB PSP,12848.0
34521585,SCREW KIT ISP,3894.0
34521593,SERVICE KIT ISP,6732.0
34770025,SYRINGE HOLDER FIXATION,1100.0
34772790,MOUNTING FOR DOOR LOCK,291.0
34773101,EMERGENCY RELEASE PLUG ISP,451.0
34773103,COVER CAP FRONT PSP,20.0
34773106,HOUSING FOOT SP,54.0
34773110,CONNECTOR DRIVE HEAD PERFUSOR COMPACT S,800.0
34773126,RUBBER SEALS (570MM / 45MM),488.0
34773134,TAMPER-PROOF CAPS (10MM),20.0
34773142,STRIP SEAL FOR REAR PANEL,210.0
34773207,"BLIND PLUG (7,1MM)",37.0
34773231,DISTANCE SLEEVE,66.0
34773258,SAFETY CLAMP WITH PRESSURE SPRING,438.0
34773355,TORSION SPRING,118.0
34773363,TORSION SPRING,130.0
34773800,LEMELLAR STOPPERS (PAK 10),38.0
34773835,DISTANCE PIECE,64.0
34773843,SYRINGE CLAMP,625.0
34773924,HINGE UNIT FOR FM,268.0
34773967,CYLINDER PIN 3H 8X60,115.0
34773983,FEET (RUBBER) SET,103.0
34774068,BLACK CLIPS,35.0
34774092,LEVER FOR PUMP COVER,143.0
34774114,DISTANCE RING 10 X 2,92.0
34774165,PRESSURE SPRING,44.0
34774270,SERVICE KIT PERFUSOR SPACE,4291.0
34774301,PRIMARY ADAPTER POWER SUPPLY SP-EURO PLU,650.0
34774311,REPARATURKIT P2 CONNECTOR - SMALL,2178.0
34774327,CLIP COMPAKT S,252.0
34774335,KIT SERVICE SPACESTATION,7820.0
34774355,CONNECTOR P2 SP,1715.0
34774356,CONNECTION LEAD AIR-IN-LINE SENSOR ISP,98.0
34774379,KRALLEN SET PERFUSOR SPACE/GRUEN,1779.0
34774380,SERVICE KIT POLE CLAMP SP,400.0
34774385,LOGO FOR SERVICE TECHNICIAN,15.0
34774386,COVER CAP CASE SP,15.0
34774394,TUBE GUIDANCE SPACE STATION,74.0
39177653,FUSE CAP,12.0
0770501A,DRUCKEINSTELLVORRICHTUNG INF. FMS U.,47183.0
3450190A,MAINS MODULE 230 V FOR IFMS,4191.0
3450193A,AIR SENSOR (COMPLETE),4782.0
3450578A,DROP SENSOR COMPLETE W/SCREE,6940.0
34520856A,AKKUMODUL SP PIN,14500.0
8713110A,POWER SUPPLY SP - EURO PLUG,8760.0
8713110B,"POWER SUPPLY SP, 3,5 M, EURO PLUG",10460.0
8713110D,POWER SUPPLY SP - EURO PLUG,80.0
BMR-C-627159,storage battery,2950.0
